[95m [1m 0 rows have missing values and they are excluded in the process.
         126720514 function calls (126720481 primitive calls) in 156.118 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        4    0.000    0.000    0.000    0.000 sre_compile.py:223(_compile_charset)
        4    0.000    0.000    0.000    0.000 sre_compile.py:250(_optimize_charset)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
        2    0.000    0.000    0.000    0.000 argparse.py:2230(_get_values)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:103(release)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:318(__exit__)
      3/2    0.000    0.000    0.006    0.003 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
       12    0.000    0.000    0.000    0.000 genericpath.py:16(exists)
       47    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
        4    0.000    0.000    0.000    0.000 sre_compile.py:542(_code)
        3    0.000    0.000    0.000    0.000 locale.py:345(_replace_encoding)
        2    0.000    0.000    0.000    0.000 argparse.py:1839(consume_optional)
        3    0.000    0.000    0.000    0.000 argparse.py:576(_format_args)
        1    0.000    0.000    0.000    0.000 argparse.py:150(HelpFormatter)
        2    0.000    0.000    0.000    0.000 argparse.py:2046(_match_argument)
       40    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
        3    0.000    0.000    0.005    0.002 <frozen importlib._bootstrap_external>:672(exec_module)
        5    0.000    0.000    0.000    0.000 sre_compile.py:388(_simple)
       22    0.000    0.000    0.000    0.000 sre_parse.py:159(__len__)
        2    0.000    0.000    0.000    0.000 argparse.py:1818(take_action)
