         234878 function calls (229087 primitive calls) in 0.521 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      618    0.001    0.000    0.006    0.000 <frozen importlib._bootstrap>:147(__enter__)
      758    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:403(cached)
       50    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
       23    0.001    0.000    0.001    0.000 generic.py:6(create_pandas_abc_type)
      688    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
      342    0.001    0.000    0.001    0.000 {built-in method _imp._fix_co_filename}
     3531    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
   190/75    0.001    0.000    0.009    0.000 sre_parse.py:407(_parse_sub)
      134    0.001    0.000    0.001    0.000 functools.py:44(update_wrapper)
       27    0.001    0.000    0.013    0.000 __init__.py:357(namedtuple)
       60    0.001    0.000    0.001    0.000 ops.py:891(_wrap_inplace_method)
        1    0.001    0.001    0.001    0.001 {method 'write' of '_io.FileIO' objects}
     1753    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:847(__exit__)
      549    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:369(__init__)
        1    0.001    0.001    0.001    0.001 datetime.py:1949(timezone)
     1753    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:843(__enter__)
      529    0.001    0.000    0.001    0.000 {built-in method builtins.any}
2546/2512    0.001    0.000    0.001    0.000 {built-in method builtins.issubclass}
   447/42    0.001    0.000    0.396    0.009 {built-in method builtins.__import__}
      542    0.001    0.000    0.047    0.000 <frozen importlib._bootstrap_external>:1149(find_spec)
      238    0.001    0.000    0.001    0.000 enum.py:70(__setitem__)
       30    0.000    0.000    0.222    0.007 __init__.py:1(<module>)
     1009    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:37(_relax_case)
     1228    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      343    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
      282    0.000    0.000    0.002    0.000 function_base.py:3895(add_newdoc)
      309    0.000    0.000    0.001    0.000 enum.py:351(__setattr__)
     2335    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      158    0.000    0.000    0.000    0.000 _decorators.py:247(__call__)
      618    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:151(__exit__)
     1829    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       75    0.000    0.000    0.022    0.000 sre_compile.py:557(compile)
       68    0.000    0.000    0.004    0.000 ops.py:1486(_arith_method_FRAME)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.compile}
      343    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
      573    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:94(_path_isfile)
      343    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
       75    0.000    0.000    0.002    0.000 sre_compile.py:482(_compile_info)
      652    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
      705    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      167    0.000    0.000    0.003    0.000 sre_compile.py:223(_compile_charset)
       75    0.000    0.000    0.011    0.000 sre_parse.py:844(parse)
       50    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
      685    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
     1072    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      420    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
     1135    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
    658/4    0.000    0.000    0.471    0.118 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     1674    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       50    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1281(_fill_cache)
       11    0.000    0.000    0.008    0.001 ops.py:800(_create_methods)
       13    0.000    0.000    0.001    0.000 enum.py:623(<listcomp>)
       48    0.000    0.000    0.001    0.000 config.py:414(register_option)
      821    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      618    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       34    0.000    0.000    0.005    0.000 typing.py:1099(__getitem__)
      909    0.000    0.000    0.000    0.000 {built-in method builtins.min}
     1061    0.000    0.000    0.000    0.000 sre_parse.py:248(match)
      112    0.000    0.000    0.001    0.000 abc.py:135(<setcomp>)
       25    0.000    0.000    0.000    0.000 {method 'split' of '_sre.SRE_Pattern' objects}
      593    0.000    0.000    0.000    0.000 sre_parse.py:285(tell)
      542    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
        3    0.000    0.000    0.000    0.000 expr.py:216(disallowed)
      420    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       80    0.000    0.000    0.000    0.000 typing.py:852(_next_in_mro)
      542    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(find_spec)
      547    0.000    0.000    0.000    0.000 _decorators.py:293(__init__)
        3    0.000    0.000    0.471    0.157 __init__.py:5(<module>)
      688    0.000    0.000    0.000    0.000 sre_parse.py:171(append)
      133    0.000    0.000    0.000    0.000 ops.py:274(_get_opstr)
       11    0.000    0.000    0.001    0.000 ops.py:861(add_methods)
      126    0.000    0.000    0.000    0.000 expr.py:152(<genexpr>)
      251    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
        1    0.000    0.000    0.006    0.006 random.py:38(<module>)
      402    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
       10    0.000    0.000    0.001    0.000 enum.py:837(_decompose)
        1    0.000    0.000    0.001    0.001 getlimits.py:3(<module>)
    72/55    0.000    0.000    0.079    0.001 <frozen importlib._bootstrap_external>:919(create_module)
      607    0.000    0.000    0.000    0.000 sre_parse.py:159(__len__)
       50    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1310(<setcomp>)
        1    0.000    0.000    0.003    0.003 series.py:126(Series)
      569    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
      166    0.000    0.000    0.000    0.000 sre_compile.py:388(_simple)
      295    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      261    0.000    0.000    0.007    0.000 re.py:184(sub)
      130    0.000    0.000    0.001    0.000 enum.py:795(__or__)
        2    0.000    0.000    0.000    0.000 {built-in method utcfromtimestamp}
      343    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
       13    0.000    0.000    0.004    0.000 enum.py:364(_create_)
       78    0.000    0.000    0.000    0.000 {built-in method numpy.core.multiarray.array}
